rank,team,elo
1,Brasilien,1693
2,England,1667
3,Marokko,1637
4,Frankreich,1631
5,Schweiz,1607
6,Deutschland,1600
7,Niederlande,1597
8,Dänemark,1571
9,Schottland,1562
10,Portugal,1548
11,Spanien,1547
12,Italien,1544
13,Mexiko,1541
14,Argentinien,1534
15,Polen,1533
16,Uruguay,1531
17,Schweden,1514
18,Kolumbien,1514
19,Ägypten,1503
20,Bosnien und Herzegowina,1503
21,Österreich,1500
22,Kanada,1500
23,IR Iran,1500
24,Tunesien,1500
25,Venezuela,1500
26,Mali,1500
27,Jamaika,1500
28,Peru,1500
29,Wales,1500
30,Ukraine,1500
31,Griechenland,1500
32,Russland,1497
33,Nigeria,1495
34,Costa Rica,1490
35,Ghana,1475
36,Belgien,1466
37,Ecuador,1456
38,Serbien,1455
39,Trinidad und Tobago,1450
40,Saudi Arabien,1449
41,USA,1447
42,Chile,1422
43,Nordirland,1421
44,Senegal,1419
45,Algerien,1418
46,Kamerun,1414
47,Republik Korea,1414
48,Kroatien,1410
49,Australien,1400
50,Japan,1395
51,Elfenbeinküste,1379
52,Neuseeland,1353
