team,year,result
Portugal,2015,Gruppenphase
Portugal,2018,Achtelfinale
Portugal,2019,Zweiter
Portugal,2020,Viertelfinale
Portugal,2022,Zweiter
Brasilien,2015,Gruppenphase
Brasilien,2018,Sieger
Brasilien,2019,Gruppenphase
Brasilien,2020,Sieger
Brasilien,2022,Sieger
Kolumbien,2015,Achtelfinale
Kolumbien,2018,Gruppenphase
Kolumbien,2019,Viertelfinale
Kolumbien,2020,Dritter
Kolumbien,2022,Gruppenphase
Ghana,2015,Gruppenphase
Ghana,2018,N.Q.
Ghana,2019,Sieger
Ghana,2020,N.Q.
Ghana,2022,N.Q.
Ghana,2025,N.Q.
